# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
60              	1.92228286e-02	1.25582396e-02	6.66458901e-03	-1.68943817e-03	-7.43768497e-04	-9.45669672e-04	1.00950587e-04	2.94682528e-03	-1.48614991e-02	1.79267681e-01	7.47723411e-02	1.04495339e-01
61              	1.92434443e-02	1.25636913e-02	6.67975297e-03	-1.70452212e-03	-7.41579674e-04	-9.62942450e-04	1.10681388e-04	2.94196917e-03	-1.48545408e-02	1.79254002e-01	7.47724602e-02	1.04481542e-01
62              	1.92600710e-02	1.25721437e-02	6.68792736e-03	-1.73433074e-03	-7.42613672e-04	-9.91717066e-04	1.24551697e-04	2.94210817e-03	-1.48488424e-02	1.79237494e-01	7.47699044e-02	1.04467589e-01
63              	1.92784771e-02	1.25876630e-02	6.69081408e-03	-1.78068127e-03	-7.49051969e-04	-1.03162930e-03	1.41288665e-04	2.94842446e-03	-1.48428841e-02	1.79221177e-01	7.47677042e-02	1.04453472e-01
64              	1.93023488e-02	1.26108463e-02	6.69150249e-03	-1.83884254e-03	-7.60620176e-04	-1.07822236e-03	1.58801092e-04	2.95967192e-03	-1.48356227e-02	1.79207696e-01	7.47682252e-02	1.04439471e-01
65              	1.93326517e-02	1.26391190e-02	6.69353269e-03	-1.90052227e-03	-7.75291048e-04	-1.12523122e-03	1.74970085e-04	2.97279316e-03	-1.48267173e-02	1.79198399e-01	7.47724822e-02	1.04425917e-01
66              	1.93671115e-02	1.26679266e-02	6.69918492e-03	-1.95751143e-03	-7.90258104e-04	-1.16725332e-03	1.88497610e-04	2.98437085e-03	-1.48167811e-02	1.79193223e-01	7.47798304e-02	1.04413393e-01
67              	1.94024566e-02	1.26929878e-02	6.70946882e-03	-2.00471506e-03	-8.03080893e-04	-1.20163417e-03	1.99276637e-04	2.99175949e-03	-1.48067173e-02	1.79190646e-01	7.47886056e-02	1.04402040e-01
68              	1.94349234e-02	1.27115499e-02	6.72337354e-03	-2.04181567e-03	-8.12563288e-04	-1.22925238e-03	2.08344546e-04	2.99408816e-03	-1.47976523e-02	1.79188721e-01	7.47967081e-02	1.04392013e-01
69              	1.94623189e-02	1.27232415e-02	6.73907740e-03	-2.07206330e-03	-8.18701078e-04	-1.25336222e-03	2.17330570e-04	2.99208207e-03	-1.47902643e-02	1.79185585e-01	7.48025281e-02	1.04383057e-01
70              	1.94844160e-02	1.27297301e-02	6.75468589e-03	-2.10057608e-03	-8.22599103e-04	-1.27797697e-03	2.27688936e-04	2.98752211e-03	-1.47846467e-02	1.79180196e-01	7.48054512e-02	1.04374745e-01
71              	1.95024970e-02	1.27338403e-02	6.76865674e-03	-2.13247478e-03	-8.26174926e-04	-1.30629986e-03	2.40062465e-04	2.98259176e-03	-1.47804577e-02	1.79172566e-01	7.48058253e-02	1.04366741e-01
72              	1.95186393e-02	1.27382193e-02	6.78042006e-03	-2.17052227e-03	-8.31022510e-04	-1.33949976e-03	2.54238624e-04	2.97889960e-03	-1.47770995e-02	1.79163589e-01	7.48046951e-02	1.04358894e-01
73              	1.95345839e-02	1.27445079e-02	6.79007602e-03	-2.21465902e-03	-8.37860881e-04	-1.37679814e-03	2.69468630e-04	2.97721595e-03	-1.47740367e-02	1.79154720e-01	7.48033231e-02	1.04351397e-01
74              	1.95506536e-02	1.27525846e-02	6.79806897e-03	-2.26223482e-03	-8.46399416e-04	-1.41583540e-03	2.84717993e-04	2.97725784e-03	-1.47711933e-02	1.79147517e-01	7.48025652e-02	1.04344952e-01
75              	1.95666710e-02	1.27610357e-02	6.80563525e-03	-2.30907431e-03	-8.55636957e-04	-1.45343735e-03	2.98900196e-04	2.97770023e-03	-1.47686326e-02	1.79142830e-01	7.48027825e-02	1.04340048e-01
76              	1.95807756e-02	1.27674244e-02	6.81335112e-03	-2.35129695e-03	-8.64320647e-04	-1.48697630e-03	3.11327826e-04	2.97703666e-03	-1.47669609e-02	1.79141010e-01	7.48035441e-02	1.04337466e-01
77              	1.95914215e-02	1.27698393e-02	6.82158222e-03	-2.38695404e-03	-8.71566991e-04	-1.51538705e-03	3.21910027e-04	2.97412852e-03	-1.47666950e-02	1.79141616e-01	7.48041128e-02	1.04337503e-01
78              	1.95972920e-02	1.27670557e-02	6.83023630e-03	-2.41605341e-03	-8.77097998e-04	-1.53895541e-03	3.30928708e-04	2.96840972e-03	-1.47682731e-02	1.79143772e-01	7.48036127e-02	1.04340159e-01
79              	1.95978523e-02	1.27591289e-02	6.83872337e-03	-2.44065685e-03	-8.81227632e-04	-1.55942922e-03	3.39100792e-04	2.96020279e-03	-1.47718707e-02	1.79146558e-01	7.48014084e-02	1.04345150e-01
80              	1.95937939e-02	1.27473173e-02	6.84647659e-03	-2.46375325e-03	-8.84578313e-04	-1.57917494e-03	3.47298313e-04	2.95042034e-03	-1.47772576e-02	1.79149247e-01	7.47973658e-02	1.04351881e-01
81              	1.95861877e-02	1.27331219e-02	6.85306577e-03	-2.48753940e-03	-8.87782134e-04	-1.59975726e-03	3.55987565e-04	2.94002809e-03	-1.47840433e-02	1.79151598e-01	7.47917554e-02	1.04359842e-01
82              	1.95763899e-02	1.27177643e-02	6.85862553e-03	-2.51246020e-03	-8.91093679e-04	-1.62136652e-03	3.65136418e-04	2.92956939e-03	-1.47917241e-02	1.79153755e-01	7.47851535e-02	1.04368602e-01
83              	1.95648926e-02	1.27017862e-02	6.86310638e-03	-2.53770692e-03	-8.94437026e-04	-1.64326990e-03	3.74416437e-04	2.91933992e-03	-1.48000979e-02	1.79156395e-01	7.47780999e-02	1.04378296e-01
84              	1.95521536e-02	1.26855373e-02	6.86661628e-03	-2.56223220e-03	-8.97587269e-04	-1.66464493e-03	3.83528829e-04	2.90946053e-03	-1.48089846e-02	1.79160071e-01	7.47710507e-02	1.04389020e-01
85              	1.95376023e-02	1.26686688e-02	6.86893359e-03	-2.58472095e-03	-9.00238591e-04	-1.68448236e-03	3.92121884e-04	2.89986758e-03	-1.48185584e-02	1.79165317e-01	7.47641000e-02	1.04401217e-01
86              	1.95205259e-02	1.26507082e-02	6.86981769e-03	-2.60442632e-03	-9.02209740e-04	-1.70221658e-03	4.00003420e-04	2.89044527e-03	-1.48290320e-02	1.79172309e-01	7.47571226e-02	1.04415187e-01
87              	1.95002901e-02	1.26313952e-02	6.86889484e-03	-2.62160309e-03	-9.03531867e-04	-1.71807122e-03	4.07269677e-04	2.88125021e-03	-1.48406216e-02	1.79180917e-01	7.47498369e-02	1.04431080e-01
88              	1.94768464e-02	1.26109712e-02	6.86587519e-03	-2.63724174e-03	-9.04422849e-04	-1.73281889e-03	4.14198019e-04	2.87254801e-03	-1.48533094e-02	1.79190671e-01	7.47420261e-02	1.04448645e-01
89              	1.94507191e-02	1.25898877e-02	6.86083132e-03	-2.65221955e-03	-9.05146963e-04	-1.74707259e-03	4.20962814e-04	2.86452821e-03	-1.48668843e-02	1.79200992e-01	7.47336117e-02	1.04467380e-01
90              	1.94229330e-02	1.25687291e-02	6.85420390e-03	-2.66705761e-03	-9.05907243e-04	-1.76115037e-03	4.27621563e-04	2.85726259e-03	-1.48809840e-02	1.79211356e-01	7.47246942e-02	1.04486662e-01
91              	1.93941604e-02	1.25481014e-02	6.84605897e-03	-2.68214159e-03	-9.06869875e-04	-1.77527172e-03	4.34200920e-04	2.85102123e-03	-1.48953370e-02	1.79221560e-01	7.47154430e-02	1.04506117e-01
92              	1.93652280e-02	1.25288750e-02	6.83635298e-03	-2.69788305e-03	-9.08122662e-04	-1.78976039e-03	4.40818864e-04	2.84626102e-03	-1.49096372e-02	1.79231501e-01	7.47061136e-02	1.04525388e-01
93              	1.93365838e-02	1.25118748e-02	6.82470898e-03	-2.71474940e-03	-9.09703920e-04	-1.80504548e-03	4.47670781e-04	2.84358292e-03	-1.49236778e-02	1.79241350e-01	7.46969973e-02	1.04544353e-01
94              	1.93085207e-02	1.24978570e-02	6.81066373e-03	-2.73325350e-03	-9.11689907e-04	-1.82156360e-03	4.54936845e-04	2.84359661e-03	-1.49373147e-02	1.79251263e-01	7.46883169e-02	1.04562946e-01
95              	1.92811332e-02	1.24872667e-02	6.79386656e-03	-2.75372255e-03	-9.14186531e-04	-1.83953602e-03	4.62674747e-04	2.84670006e-03	-1.49504805e-02	1.79261370e-01	7.46802043e-02	1.04581165e-01
96              	1.92542979e-02	1.24802941e-02	6.77400381e-03	-2.77646143e-03	-9.17337223e-04	-1.85912421e-03	4.70893491e-04	2.85314515e-03	-1.49632013e-02	1.79271687e-01	7.46726423e-02	1.04599045e-01
97              	1.92278734e-02	1.24770853e-02	6.75078809e-03	-2.80201330e-03	-9.21389354e-04	-1.88062395e-03	4.79617296e-04	2.86314862e-03	-1.49755631e-02	1.79282175e-01	7.46655244e-02	1.04616651e-01
98              	1.92017526e-02	1.24779112e-02	6.72384145e-03	-2.83111012e-03	-9.26571580e-04	-1.90453854e-03	4.88983480e-04	2.87703486e-03	-1.49876167e-02	1.79292677e-01	7.46587217e-02	1.04633955e-01
99              	1.91759592e-02	1.24830361e-02	6.69292304e-03	-2.86440369e-03	-9.33119993e-04	-1.93128370e-03	4.99081852e-04	2.89505655e-03	-1.49993622e-02	1.79303042e-01	7.46521587e-02	1.04650883e-01
100             	1.91508630e-02	1.24929381e-02	6.65792484e-03	-2.90251086e-03	-9.41221540e-04	-1.96128932e-03	5.10033890e-04	2.91750664e-03	-1.50106478e-02	1.79313054e-01	7.46458793e-02	1.04667175e-01
101             	1.91267983e-02	1.25081310e-02	6.61866729e-03	-2.94615512e-03	-9.51094084e-04	-1.99506104e-03	5.21983479e-04	2.94473186e-03	-1.50213763e-02	1.79322643e-01	7.46399453e-02	1.04682698e-01
102             	1.91036207e-02	1.25286031e-02	6.57501758e-03	-2.99535828e-03	-9.62821428e-04	-2.03253685e-03	5.34857710e-04	2.97679278e-03	-1.50316334e-02	1.79331906e-01	7.46343198e-02	1.04697587e-01
103             	1.90810992e-02	1.25541014e-02	6.52699779e-03	-3.04969563e-03	-9.76404054e-04	-2.07329157e-03	5.48443760e-04	3.01355180e-03	-1.50415150e-02	1.79341007e-01	7.46289886e-02	1.04712019e-01
